 table_schema |        table_name         |         column_name          |          data_type          | character_maximum_length | is_nullable 
 staging      | int_customer_fuzzy        | first_name_clean             | text                        |                          | YES
 staging      | int_customer_fuzzy        | last_name_clean              | text                        |                          | YES
 staging      | int_customer_fuzzy        | phone_clean                  | text                        |                          | YES
 staging      | int_customer_fuzzy        | address                      | text                        |                          | YES
 staging      | int_customer_fuzzy        | city                         | character varying           |                      100 | YES
 staging      | int_customer_fuzzy        | country                      | character varying           |                       10 | YES
 staging      | int_customer_fuzzy        | created_at_parsed            | date                        |                          | YES
 staging      | int_customer_fuzzy        | duplicate_count              | bigint                      |                          | YES
 staging      | int_customer_fuzzy        | was_duplicate                | boolean                     |                          | YES
 staging      | int_customer_fuzzy        | was_fuzzy_matched            | boolean                     |                          | YES
 staging      | int_customer_fuzzy        | name_soundex                 | text                        |                          | YES
 staging      | int_customer_fuzzy        | fuzzy_match_key              | text                        |                          | YES
 staging      | int_customer_fuzzy        | loaded_at                    | timestamp without time zone |                          | YES
 staging      | int_customer_fuzzy        | source_file                  | character varying           |                      255 | YES
 staging      | int_customer_identity     | customer_id                  | character varying           |                      100 | YES
 staging      | int_customer_identity     | email_clean                  | text                        |                          | YES
 staging      | int_customer_identity     | email_raw                    | character varying           |                      255 | YES
 staging      | int_customer_identity     | first_name_clean             | text                        |                          | YES
 staging      | int_customer_identity     | first_name_raw               | character varying           |                      100 | YES
 staging      | int_customer_identity     | last_name_clean              | text                        |                          | YES
 staging      | int_customer_identity     | last_name_raw                | character varying           |                      100 | YES
 staging      | int_customer_identity     | phone_clean                  | text                        |                          | YES
 staging      | int_customer_identity     | phone_raw                    | character varying           |                       50 | YES
 staging      | int_customer_identity     | address                      | text                        |                          | YES
 staging      | int_customer_identity     | city                         | character varying           |                      100 | YES
 staging      | int_customer_identity     | country                      | character varying           |                       10 | YES
 staging      | int_customer_identity     | created_at_parsed            | date                        |                          | YES
 staging      | int_customer_identity     | created_at_raw               | character varying           |                       50 | YES
 staging      | int_customer_identity     | loaded_at                    | timestamp without time zone |                          | YES
 staging      | int_customer_identity     | source_file                  | character varying           |                      255 | YES
 staging      | int_customer_identity     | customer_key                 | text                        |                          | YES
 staging      | int_customer_identity     | identity_match_key           | text                        |                          | YES
 staging      | int_customer_identity     | record_rank                  | bigint                      |                          | YES
 staging      | int_customer_identity     | duplicate_count              | bigint                      |                          | YES
 staging      | int_customer_identity     | is_golden_record             | boolean                     |                          | YES
 staging      | stg_csv_customers         | customer_id                  | character varying           |                      100 | YES
 staging      | stg_csv_customers         | email_clean                  | text                        |                          | YES
 staging      | stg_csv_customers         | email_raw                    | character varying           |                      255 | YES
 staging      | stg_csv_customers         | first_name_clean             | text                        |                          | YES
 staging      | stg_csv_customers         | last_name_clean              | text                        |                          | YES
 staging      | stg_csv_customers         | first_name_raw               | character varying           |                      100 | YES
 staging      | stg_csv_customers         | last_name_raw                | character varying           |                      100 | YES
 staging      | stg_csv_customers         | phone_clean                  | text                        |                          | YES
 staging      | stg_csv_customers         | phone_raw                    | character varying           |                       50 | YES
 staging      | stg_csv_customers         | address                      | text                        |                          | YES
 staging      | stg_csv_customers         | city                         | character varying           |                      100 | YES
 staging      | stg_csv_customers         | country                      | character varying           |                       10 | YES
 staging      | stg_csv_customers         | created_at_raw               | character varying           |                       50 | YES
 staging      | stg_csv_customers         | created_at_parsed            | date                        |                          | YES
 staging      | stg_csv_customers         | loaded_at                    | timestamp without time zone |                          | YES
 staging      | stg_csv_customers         | source_file                  | character varying           |                      255 | YES
 warehouse    | pipeline_metadata         | run_id                       | integer                     |                          | NO
 warehouse    | pipeline_metadata         | pipeline_name                | character varying           |                      100 | NO
 warehouse    | pipeline_metadata         | schema_name                  | character varying           |                       50 | NO
 warehouse    | pipeline_metadata         | table_name                   | character varying           |                      100 | NO
 warehouse    | pipeline_metadata         | rows_inserted                | integer                     |                          | YES
 warehouse    | pipeline_metadata         | rows_updated                 | integer                     |                          | YES
 warehouse    | pipeline_metadata         | run_status                   | character varying           |                       20 | YES
 warehouse    | pipeline_metadata         | started_at                   | timestamp without time zone |                          | YES
 warehouse    | pipeline_metadata         | completed_at                 | timestamp without time zone |                          | YES
 warehouse    | pipeline_metadata         | error_message                | text                        |                          | YES
(173 rows)

